Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Decision Tree Classifier,0.9714,0.9818,0.9714,0.9786,0.9708,0.9617,0.9642,0.014
Gradient Boosting Classifier,0.9571,0.0,0.9571,0.9668,0.9564,0.9425,0.9463,0.098
Extra Trees Classifier,0.9571,0.9945,0.9571,0.9668,0.9562,0.9425,0.9462,0.051
Random Forest Classifier,0.95,0.9963,0.95,0.963,0.9472,0.9327,0.9382,0.06
Naive Bayes,0.9429,0.9986,0.9429,0.9557,0.9418,0.9234,0.9282,0.017
K Neighbors Classifier,0.9357,0.9919,0.9357,0.95,0.9332,0.9138,0.9199,0.487
Logistic Regression,0.9214,0.0,0.9214,0.9373,0.9173,0.8945,0.9009,1.399
Light Gradient Boosting Machine,0.9214,0.989,0.9214,0.9321,0.9204,0.8952,0.8996,0.26
Linear Discriminant Analysis,0.8643,0.0,0.8643,0.9038,0.8578,0.8179,0.8325,0.012
Ridge Classifier,0.5714,0.0,0.5714,0.5179,0.4802,0.426,0.4786,0.012
Ada Boost Classifier,0.4929,0.0,0.4929,0.2464,0.3284,0.3197,0.3942,0.032
Quadratic Discriminant Analysis,0.4429,0.0,0.4429,0.4565,0.416,0.2701,0.2907,0.013
SVM - Linear Kernel,0.3,0.0,0.3,0.1864,0.1736,0.0438,0.0668,0.018
Dummy Classifier,0.2143,0.5,0.2143,0.0459,0.0756,0.0,0.0,0.013
