Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Decision Tree Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019
Random Forest Classifier,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.108
Ada Boost Classifier,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.056
Gradient Boosting Classifier,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.114
Light Gradient Boosting Machine,0.9929,0.9997,0.9929,0.9934,0.9929,0.9869,0.9874,0.499
Logistic Regression,0.9833,0.0,0.9833,0.9845,0.9829,0.9692,0.9703,1.393
Naive Bayes,0.9762,0.9986,0.9762,0.9739,0.9737,0.9557,0.9577,0.019
Extra Trees Classifier,0.9762,0.9988,0.9762,0.9778,0.9759,0.956,0.9573,0.093
Linear Discriminant Analysis,0.9476,0.0,0.9476,0.9491,0.9452,0.9025,0.9055,0.024
Ridge Classifier,0.9048,0.0,0.9048,0.863,0.8821,0.8174,0.8232,0.036
K Neighbors Classifier,0.8929,0.9824,0.8929,0.8953,0.8876,0.8,0.8098,0.704
Quadratic Discriminant Analysis,0.6952,0.0,0.6952,0.7169,0.6962,0.4487,0.4559,0.028
SVM - Linear Kernel,0.5333,0.0,0.5333,0.6028,0.4469,0.1598,0.2489,0.031
Dummy Classifier,0.4976,0.5,0.4976,0.2477,0.3307,0.0,0.0,0.018
